Paule Marshall,pmarshall,barbados,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
pmarshall,Praisesong For the Widow,1983,English,Penguin Books,"New York, NY,",United States,new_york_ny_united_states,Fiction (Novel),n,256,
pmarshall,"The Chosen Place, the Timeless People",1984,English,Vintage Books,"New York, NY,",United States,new_york_ny_united_states,Fiction (Novel),n,480,
pmarshall,"Reena and Other Stories: Including the Novella ""Merle""",1993,English,The Feminist Press at CUNY,"Old Westbury, NY",United States,old_westbury_n.y_united_states,Fiction (Novel),n,224,
pmarshall,Reading Brown Girl Brownstones Praisesong For The Widow,1987,English,Amer Audio Prose Library Inc,"Columbia, MO",United States,columbia_mo_united_states,Fiction (Novel),n,324,1983
pmarshall,Triangular Road: A Memoir,2009,English,Civitas Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,192,
pmarshall,The Fisher King,2000,English,Scribner Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,224,1991
pmarshall,Daughters,1992,English,Atheneum Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,408,
pmarshall,Merle and Other Stories,1985,English,Virago Press,London,England,london__england,Fiction (Novel),n,210,1961
pmarshall,"Brown Girl, Brownstones",1959,English,Feminist Press at the City University of New York,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,319,
pmarshall,Praisesong For the Widow,2021,English,McSweeney's,"San Francisco, CA",United States,san_francisco_ca_united_states,Fiction (Novel),n,324,1983
pmarshall,Soul Clap Hands and Sing,1961,English,Atheneum Books,"Hoboken, NJ",United States,hoboken_nj_united_states,Fiction (Novel),n,177,
pmarshall,The Fisher King,2011,English,Recorded Books,"Prince Frederick, MD",United States,,Fiction (Novel),n,177,2000
